source_table_index,source_row,norm_code,resource_category,resource_code,resource_name,unit_raw,quantity_per_work_unit_raw
62,9,27-14-046-02,material,41109,Ишлатишга тайёр эмаль бўёқлар,т,"0,0127"
63,2,27-14-048-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"23,69"
63,2,27-14-048-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"91,67"
63,3,27-14-048-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"23,69"
63,3,27-14-048-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"91,67"
63,5,27-14-048-01,machine,1771,Йўл устаси машинаси,маш.-с,"23,69"
63,5,27-14-048-02,machine,1771,Йўл устаси машинаси,маш.-с,-
63,6,27-14-048-01,machine,10,Автогидроподъемник 12 м гача баландликка кўтаради,маш.-с,-
63,6,27-14-048-02,machine,10,Автогидроподъемник 12 м гача баландликка кўтаради,маш.-с,"91,67"
63,8,27-14-048-01,material,30419,Йўл белгилари қалқонлари,д,100
63,8,27-14-048-02,material,30419,Йўл белгилари қалқонлари,д,100
63,9,27-14-048-01,material,41085,Болт гайкалари билан,Кг,13
63,9,27-14-048-02,material,41085,Болт гайкалари билан,Кг,13
64,2,27-14-049-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"299,74"
64,3,27-14-049-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"149,87"
64,5,27-14-049-01,machine,01771,Йўл устаси машинаси,маш.-с,"149,87"
64,7,27-14-049-01,material,09219,Сув,м3,"1,301"
64,8,27-14-049-01,material,43111,Қум,м3,"3,47"
64,9,27-14-049-01,material,44849,Цемент маркаси лойиҳа бўйича,т,"2,054"
64,10,27-14-049-01,material,43113,Чақиқтош,м3,"3,76"
64,11,27-14-049-01,material,41610,Металл устунлар,д,100
64,12,27-14-049-01,material,30972,"Ташқи бўёқ ишлари учун қора бўёқ, МА-015, ПФ-014 маркали",т,"0,00216"
64,13,27-14-049-01,material,30996,"Ёғли ва алкидли бўёқлар, ишлатиш учун тайёр, рухли белила ПФ-14",т,"0,0093"
65,2,27-14-050-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"192,61"
65,2,27-14-050-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"161,71-"
65,3,27-14-050-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"83,43"
65,3,27-14-050-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"67,98"
65,5,27-14-050-01,machine,01771,Йўл устаси машинаси,маш.-с,"83,43"
65,5,27-14-050-02,machine,01771,Йўл устаси машинаси,маш.-с,"67,98"
65,7,27-14-050-01,material,30972,"Ташқи бўёқ ишлари учун қора бўёқ, МА-015, ПФ-014 маркали",т,"0,00172"
65,7,27-14-050-02,material,30972,"Ташқи бўёқ ишлари учун қора бўёқ, МА-015, ПФ-014 маркали",т,"0,00172"
65,8,27-14-050-01,material,30996,"Ёғли ва алкидли бўёқлар, ишлатиш учун тайёр, рухли белила ПФ-14",т,"0,0274"
65,8,27-14-050-02,material,30996,"Ёғли ва алкидли бўёқлар, ишлатиш учун тайёр, рухли белила ПФ-14",т,"0,0274"
65,9,27-14-050-01,material,30153,"Суюқ йўл нефть битумлари, МГ, СГ турдаги",т,"0,06"
65,9,27-14-050-02,material,30153,"Суюқ йўл нефть битумлари, МГ, СГ турдаги",т,"0,06"
65,10,27-14-050-01,material,34035,Уайт-спирит,т,"0,0002"
65,10,27-14-050-02,material,34035,Уайт-спирит,т,"0,0002"
65,11,27-14-050-01,material,35550,"Фольга алюминийдан, техник мақсадлар учун, юмшоқ, рулонли, қалинлиги 0,1 мм",т,"0,00055"
65,11,27-14-050-02,material,35550,"Фольга алюминийдан, техник мақсадлар учун, юмшоқ, рулонли, қалинлиги 0,1 мм",т,"0,00055"
65,12,27-14-050-01,material,41647,Эпоксид клей,кг,"0,54"
65,12,27-14-050-02,material,41647,Эпоксид клей,кг,"0,54"
65,13,27-14-050-01,material,41757,Темирбетон огоҳлантирувчи устунчалар,м3,"3,3"
65,13,27-14-050-02,material,41757,Темирбетон огоҳлантирувчи устунчалар,м3,"3,3"
66,2,27-14-052-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"13,7"
66,3,27-14-052-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"6,85"
66,5,27-14-052-02,machine,01771,Йўл устаси машинаси,маш.-с,"6,85"
66,7,27-14-052-02,material,31434,Грунтовка,т,"0,00584"
66,8,27-14-052-02,material,31520,Эритувчи,т,"0,00088"
66,9,27-14-052-02,material,34035,Уайт-спирит,т,"0,0132"
66,10,27-14-052-02,material,41109,Ишлатиш учун тайёр эмаль бўёқлар,т,"0,0071"
66,11,27-14-052-02,material,44059,Латта,кг,"0,15"
67,2,27-14-053-01,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"5,76"
67,2,27-14-053-02,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"5,76"
67,2,27-14-053-03,labor_worker,1,Қурувчи ишчилар меҳнати харажатлари,киши-с,"6,38"
67,3,27-14-053-01,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"2,88"
67,3,27-14-053-02,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"2,88"
67,3,27-14-053-03,labor_operator,2,Машинистлар меҳнати харажатлари,киши-с,"3,19"
67,5,27-14-053-01,machine,01771,Йўл устаси машинаси,маш.-с,"2,88"
